directorio,secuencia_p,orden,age,parentesco,p6210,other_job,sex,estrato1,cotPension,regSalud,cuentaPropia,formal,hoursWorkUsual,ocu,oficio,firm_time,sizeFirm,wage,iof1,iof2,iof6,age2,ln_wage
4514331,1,1,36,1,5,2,1,2,1,2,0,1,45,1,39,166,5,6740.74072265625,0,0,0,1296,8.81592509737174
4514333,1,1,51,1,6,2,1,2,1,1,0,1,48,1,85,12,3,5833.33349609375,0,0,5e+05,2601,8.67134389914528
4514334,1,1,45,1,3,2,1,2,1,1,0,1,56,1,45,15,2,3073.82080078125,0,0,0,2025,8.03067662727285
4514335,1,1,61,1,3,2,1,2,2,3,0,0,40,1,53,120,4,4083.33325195312,0,0,0,3721,8.31466890737492
4514338,1,2,35,2,6,2,0,2,1,2,0,1,48,1,13,24,5,8263.888671875,0,0,0,1225,9.01965053925121
4514339,1,1,35,1,5,2,0,2,1,1,0,1,40,1,42,36,5,5541.66650390625,0,0,0,1225,8.62005054748564
4514339,1,2,39,2,6,2,1,2,1,1,0,1,44,1,33,94,5,7689.39404296875,0,0,0,1521,8.94759726134148
4514342,1,2,29,3,6,2,1,2,2,,1,0,40,1,37,6,1,,0,0,0,841,
4514343,1,1,29,1,5,2,1,2,1,1,0,1,54,1,45,24,2,3240.74072265625,0,0,0,841,8.08355720076102
4514344,1,2,44,2,4,2,0,2,2,,1,0,42,1,57,6,1,,0,0,0,1936,
4514345,1,5,31,3,5,2,1,2,1,1,0,1,55,1,45,24,5,,0,0,0,961,
4514345,1,4,18,3,5,2,0,2,2,1,0,0,84,1,45,18,2,,0,0,0,324,
4514346,1,1,55,1,5,2,1,2,2,3,0,0,48,1,84,2,2,,0,0,0,3025,
4514348,1,1,56,1,3,2,0,2,1,1,0,1,48,1,55,30,5,3586.12426757812,0,0,0,3136,8.18482730710011
4514349,1,3,23,3,6,2,1,2,1,1,0,1,40,1,39,51,5,4303.34912109375,0,0,0,529,8.36714886389406
4514349,1,2,30,3,5,2,1,2,1,1,0,1,54,1,53,8,3,3456.7900390625,0,0,0,900,8.14809570306489
4514350,1,1,50,1,6,2,0,2,2,1,1,0,48,1,45,72,1,,0,0,0,2500,
4514350,1,2,28,3,6,2,1,2,1,1,0,1,48,1,39,24,5,3888.88891601562,0,0,0,784,8.26587877011078
4514351,1,1,54,1,4,2,0,2,2,3,1,0,66,1,79,120,2,,0,0,0,2916,
4514352,1,2,36,3,5,2,1,2,2,3,0,0,16,1,37,36,2,4375,0,0,0,1296,8.38366179879172
4514353,1,1,53,1,4,2,0,2,2,1,1,0,40,1,56,120,1,,0,0,0,2809,
4514354,1,2,33,2,6,2,0,2,1,1,0,1,48,1,39,24,3,7291.66650390625,0,0,0,1089,8.89448740023628
4514354,1,1,38,1,5,2,1,2,1,1,0,1,48,1,37,96,5,3586.12426757812,0,0,0,1444,8.18482730710011
4514357,1,2,51,2,5,2,1,2,2,1,1,0,48,1,93,100,1,,0,0,0,2601,
4514357,1,1,51,1,5,2,0,2,1,1,0,1,45,1,55,72,4,5185.18505859375,0,0,0,2601,8.55356081117305
4514359,1,1,43,1,6,2,1,2,1,1,0,1,48,1,21,24,5,17013.888671875,0,0,0,1849,9.74178527018981
4514360,1,2,47,2,5,2,1,2,1,1,1,1,70,1,98,204,1,,0,0,0,2209,
4514360,1,1,41,1,5,2,0,2,1,2,0,1,40,1,32,48,5,8166.66650390625,0,0,0,1681,9.00781608793486
4514361,1,2,31,3,5,2,0,2,1,1,0,1,48,1,97,24,4,3586.12426757812,0,0,0,961,8.18482730710011
4514361,1,3,36,9,4,2,1,2,1,1,0,1,48,1,98,156,4,3586.12426757812,0,0,0,1296,8.18482730710011
4514363,2,1,50,1,5,2,0,2,1,1,0,1,48,1,55,108,5,3586.12426757812,0,0,0,2500,8.18482730710011
4514364,1,2,42,2,5,2,0,2,1,1,0,1,48,1,54,12,1,4375,0,0,0,1764,8.38366179879172
4514364,1,1,45,1,3,2,1,2,1,1,0,1,45,1,98,70,3,7777.77783203125,0,0,0,2025,8.95902595067072
4514364,1,3,20,3,6,2,1,2,1,1,0,1,60,1,95,4,5,3056.66674804688,0,0,0,400,8.02508030320624
4514365,1,1,49,1,5,2,1,2,1,1,0,1,48,1,58,36,4,5833.33349609375,0,0,0,2401,8.67134389914528
4514366,1,1,47,1,5,2,0,2,2,,1,0,9,1,55,24,1,,0,0,0,2209,
4514367,1,1,24,1,5,2,1,2,2,3,1,0,60,1,98,36,1,,0,0,0,576,
4514368,1,2,27,3,6,2,1,2,1,1,0,1,42,1,33,12,5,6666.66650390625,0,0,0,729,8.80487523945396
