directorio,secuencia_p,orden,age,parentesco,p6210,other_job,sex,estrato1,cotPension,regSalud,cuentaPropia,formal,hoursWorkUsual,ocu,oficio,firm_time,sizeFirm,wage,iof1,iof2,iof6
4514331,1,1,36,1,5,2,1,2,1,2,0,1,45,1,39,166,5,6740.74072265625,0,0,0
4514333,1,1,51,1,6,2,1,2,1,1,0,1,48,1,85,12,3,5833.33349609375,0,0,5e+05
4514334,1,1,45,1,3,2,1,2,1,1,0,1,56,1,45,15,2,3073.82080078125,0,0,0
4514335,1,1,61,1,3,2,1,2,2,3,0,0,40,1,53,120,4,4083.33325195312,0,0,0
4514338,1,2,35,2,6,2,0,2,1,2,0,1,48,1,13,24,5,8263.888671875,0,0,0
4514339,1,1,35,1,5,2,0,2,1,1,0,1,40,1,42,36,5,5541.66650390625,0,0,0
4514339,1,2,39,2,6,2,1,2,1,1,0,1,44,1,33,94,5,7689.39404296875,0,0,0
4514343,1,1,29,1,5,2,1,2,1,1,0,1,54,1,45,24,2,3240.74072265625,0,0,0
4514345,1,5,31,3,5,2,1,2,1,1,0,1,55,1,45,24,5,4612.66572219751,0,0,0
4514346,1,1,55,1,5,2,1,2,2,3,0,0,48,1,84,2,2,3995.99149765761,0,0,0
4514348,1,1,56,1,3,2,0,2,1,1,0,1,48,1,55,30,5,3586.12426757812,0,0,0
4514349,1,3,23,3,6,2,1,2,1,1,0,1,40,1,39,51,5,4303.34912109375,0,0,0
4514349,1,2,30,3,5,2,1,2,1,1,0,1,54,1,53,8,3,3456.7900390625,0,0,0
4514350,1,1,50,1,6,2,0,2,2,1,1,0,48,1,45,72,1,3035.7176411866,0,0,0
4514350,1,2,28,3,6,2,1,2,1,1,0,1,48,1,39,24,5,3888.88891601562,0,0,0
4514351,1,1,54,1,4,2,0,2,2,3,1,0,66,1,79,120,2,920.792057434096,0,0,0
4514352,1,2,36,3,5,2,1,2,2,3,0,0,16,1,37,36,2,4375,0,0,0
4514353,1,1,53,1,4,2,0,2,2,1,1,0,40,1,56,120,1,2261.44845118626,0,0,0
4514354,1,2,33,2,6,2,0,2,1,1,0,1,48,1,39,24,3,7291.66650390625,0,0,0
4514354,1,1,38,1,5,2,1,2,1,1,0,1,48,1,37,96,5,3586.12426757812,0,0,0
4514357,1,2,51,2,5,2,1,2,2,1,1,0,48,1,93,100,1,891.574097337155,0,0,0
4514357,1,1,51,1,5,2,0,2,1,1,0,1,45,1,55,72,4,5185.18505859375,0,0,0
4514359,1,1,43,1,6,2,1,2,1,1,0,1,48,1,21,24,5,17013.888671875,0,0,0
4514360,1,1,41,1,5,2,0,2,1,2,0,1,40,1,32,48,5,8166.66650390625,0,0,0
4514361,1,2,31,3,5,2,0,2,1,1,0,1,48,1,97,24,4,3586.12426757812,0,0,0
4514361,1,3,36,9,4,2,1,2,1,1,0,1,48,1,98,156,4,3586.12426757812,0,0,0
4514363,2,1,50,1,5,2,0,2,1,1,0,1,48,1,55,108,5,3586.12426757812,0,0,0
4514364,1,2,42,2,5,2,0,2,1,1,0,1,48,1,54,12,1,4375,0,0,0
4514364,1,1,45,1,3,2,1,2,1,1,0,1,45,1,98,70,3,7777.77783203125,0,0,0
4514364,1,3,20,3,6,2,1,2,1,1,0,1,60,1,95,4,5,3056.66674804688,0,0,0
4514365,1,1,49,1,5,2,1,2,1,1,0,1,48,1,58,36,4,5833.33349609375,0,0,0
4514368,1,2,27,3,6,2,1,2,1,1,0,1,42,1,33,12,5,6666.66650390625,0,0,0
4514369,1,3,24,3,6,1,0,2,1,1,0,1,40,1,30,12,4,13416.6669921875,0,0,0
4514369,1,1,47,1,6,2,0,2,1,1,0,1,84,1,19,3,5,4722.22216796875,0,0,0
4514369,1,2,55,2,4,2,1,2,1,1,1,1,48,1,83,360,1,4007.56897773596,0,0,0
4514370,2,2,21,5,6,2,1,3,2,3,0,0,15,1,42,1,3,5444.4443359375,0,0,0
4514371,1,1,29,1,5,2,1,2,2,1,0,0,48,1,55,18,2,3586.12426757812,0,0,0
4514372,1,1,63,1,5,2,0,3,2,3,1,0,48,1,51,120,1,12409.4538047144,0,0,8e+05
4514374,1,2,35,3,3,2,1,2,1,1,0,1,56,1,98,38,5,5000,0,0,0
4514374,1,1,56,1,5,2,0,2,1,1,0,1,48,1,55,142,5,3586.12426757812,0,0,0
4514375,1,1,53,1,5,2,0,2,1,1,0,1,48,1,45,112,5,5833.33349609375,0,0,0
4514375,1,2,23,3,6,2,0,2,1,1,0,1,48,1,39,8,5,7291.66650390625,0,0,0
4514376,1,1,41,1,5,2,1,2,1,1,0,1,49,1,55,2,3,3512.93798828125,0,0,0
4514377,1,1,32,1,5,2,0,2,2,1,0,0,48,1,32,5,5,3586.12426757812,0,0,0
4514378,1,1,62,1,3,2,1,2,2,3,0,0,84,1,39,1,2,3333.33325195312,0,0,0
4514379,1,1,24,1,6,2,1,2,1,1,0,1,48,1,84,1,5,6805.5556640625,0,0,0
4514380,1,2,43,2,6,2,0,3,1,2,0,1,30,1,13,144,5,21777.77734375,0,0,0
4514380,1,1,55,1,6,2,1,3,1,2,0,1,30,1,13,144,5,20222.22265625,0,0,0
4514381,1,1,73,1,3,2,0,2,1,1,0,1,40,1,54,96,1,4303.34912109375,0,0,4e+05
4514382,1,2,51,3,4,2,1,2,2,3,0,0,48,1,93,60,2,4861.111328125,0,0,0
4514382,1,1,76,1,3,2,0,2,2,3,1,0,30,1,79,360,1,6322.49729257507,0,0,0
4514383,1,3,47,3,5,2,1,3,2,3,1,0,60,1,45,120,1,7552.75024414841,0,0,0
4514384,1,3,56,3,5,2,0,3,2,1,1,0,8,1,54,6,1,11265.684939079,0,0,6e+05
4514384,1,8,47,3,5,2,0,3,1,1,0,1,48,1,97,108,5,3586.12426757812,0,0,0
4514384,1,6,29,4,5,2,0,3,1,1,0,1,40,1,39,14,4,5250,0,0,0
4514385,1,1,52,1,5,2,0,3,2,1,0,0,54,1,57,300,2,8883.01168504973,0,0,0
4514387,1,1,63,1,5,2,1,3,2,1,0,0,48,1,84,420,2,16462.8151329565,16666.6666666667,0,1200000
4514387,1,3,25,6,5,2,0,3,1,1,0,1,60,1,54,48,1,2430.5556640625,0,0,0
4514387,2,1,32,1,6,2,1,3,1,1,1,1,50,1,18,36,1,7797.40376656496,0,0,0
4514388,1,2,24,2,5,2,0,3,1,1,0,1,48,1,58,24,5,3796.52783203125,0,0,0
4514388,1,1,27,1,5,2,1,3,1,1,0,1,48,1,58,24,5,3796.52783203125,0,0,0
4514389,1,2,63,2,3,2,0,3,2,3,1,0,60,1,41,300,2,8919.66315269701,0,0,0
4514389,1,1,71,1,3,2,1,3,2,3,1,0,60,1,41,300,2,13841.3478385944,0,0,5e+05
4514390,1,1,52,1,6,2,1,4,1,1,0,1,45,1,2,174,5,38888.890625,0,0,2200000
4514390,1,2,52,2,6,2,0,4,1,1,0,1,45,1,2,60,5,26962.962890625,0,0,0
4514390,1,4,25,3,6,2,1,4,1,1,0,1,48,1,2,6,5,6416.66650390625,0,0,0
4514391,1,1,53,1,3,2,0,4,2,1,1,0,48,1,84,144,1,8393.94360710347,0,0,0
4514391,1,2,30,3,6,2,0,4,1,1,0,1,48,1,2,24,4,9722.22265625,0,0,0
4514392,1,1,42,1,5,2,1,4,1,1,0,1,72,1,57,84,3,12435.2408645165,0,0,0
